"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2019-03-20 17:22:34","2018-01-05 08:36:27"
"03/20/2019","14:00","380130004","Lostwood NWR","NO2","PPB",4,"North Dakota Health",4,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381010003","RYDER","NO2","PPB",4,"North Dakota Health",4,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","000070203","Brandon","PM10","UG/M3",4,"Manitoba Conservation Air Quality Section",4,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270213410","Leech Lake Nation: C","PM25","UG/M3",1,"Minnesota Pollution Control Agency",4,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460330132","WIND CAVE","PM25","UG/M3",0.9,"South Dakota",4,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380130004","Lostwood NWR","SO2","PPB",2,"North Dakota Health",3,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530954","Minneapolis-Downtown","SO2","PPB",2,"Minnesota Pollution Control Agency",3,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460990008","Sioux Falls","PM25","UG/M3",0.8,"South Dakota",3,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380150003","Bismarck Residential","NO2","PPB",2,"North Dakota Health",2,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380171004","Fargo NW","PM10","UG/M3",2,"North Dakota Health",2,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","NO2","PPB",2,"Minnesota Pollution Control Agency",2,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270370480","Lakeville - Near Roa","NO2","PPB",2,"Minnesota Pollution Control Agency",2,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380171004","Fargo NW","SO2","PPB",1,"North Dakota Health",1,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380530002","TRNP-NU","NO2","PPB",1,"North Dakota Health",1,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380650002","Hannover","SO2","PPB",1,"North Dakota Health",1,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191390020","Muscatine, Musser Pa","SO2","PPB",1,"Iowa DNR",1,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191630015","Davenport, 10th & Vi","SO2","PPB",1,"Iowa DNR",1,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191770006","Lake Sugema","NO2","PPB",1,"Iowa DNR",1,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380150003","Bismarck Residential","CO","PPM",0.18,"North Dakota Health",0,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380150003","Bismarck Residential","SO2","PPB",0,"North Dakota Health",0,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380171004","Fargo NW","NO2","PPB",0,"North Dakota Health",0,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380530002","TRNP-NU","SO2","PPB",0,"North Dakota Health",0,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381010003","RYDER","SO2","PPB",0,"North Dakota Health",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550090005","GREEN BAY E HIGH","SO2","PPB",0,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550250041","MADISON EAST","SO2","PPB",0,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550270001","Horicon Wildlife Are","CO","PPM",0.24,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550270001","Horicon Wildlife Are","SO2","PPB",0,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550410007","POTAWATOMI ","SO2","PPB",0,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790026","MILWAUKEE SER DNR ","SO2","PPB",0,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790056","MILWAUKEE COLLEGE AV","CO","PPM",0.45,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550850996","RHINELANDER","SO2","PPB",0,"Wisconsin DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190450019","Clinton, Chancy Park","SO2","PPB",0,"Iowa DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191130040","PUBLIC HEALTH","SO2","PPB",0,"Linn Co. Public Health ",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191130041","TAIT CUMMINS","SO2","PPB",0,"Linn Co. Public Health ",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191390016","Muscatine, Greenwood","SO2","PPB",0,"Iowa DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191390019","Muscatine, High Scho","SO2","PPB",0,"Iowa DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191630015","Davenport, 10th & Vi","CO","PPM",0.17,"Iowa DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191770006","Lake Sugema","SO2","PPB",0,"Iowa DNR",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","CO","PPM",0.2,"Minnesota Pollution Control Agency",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","SO2","PPB",0,"Minnesota Pollution Control Agency",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270370480","Lakeville - Near Roa","CO","PPM",0.2,"Minnesota Pollution Control Agency",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530954","Minneapolis-Downtown","CO","PPM",0.78,"Minnesota Pollution Control Agency",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530962","Minneapolis-Near Roa","CO","PPM",0.54,"Minnesota Pollution Control Agency",0,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270750005","Ely","PM25","UG/M3",0,"Minnesota Pollution Control Agency",0,"2019-03-20 17:22:34",NA
